time,cpi
2005/1/1,190.7
2005/2/1,191.8
2005/3/1,193.3
2005/4/1,194.6
2005/5/1,194.4
2005/6/1,194.5
2005/7/1,195.4
2005/8/1,196.4
2005/9/1,198.8
2005/10/1,199.2
2005/11/1,197.6
2005/12/1,196.8
2006/1/1,198.3
2006/2/1,198.7
2006/3/1,199.8
2006/4/1,201.5
2006/5/1,202.5
2006/6/1,202.9
2006/7/1,203.5
2006/8/1,203.9
2006/9/1,202.9
2006/10/1,201.8
2006/11/1,201.5
2006/12/1,201.8
2007/1/1,202.416
2007/2/1,203.499
2007/3/1,205.352
2007/4/1,206.686
2007/5/1,207.949
2007/6/1,208.352
2007/7/1,208.299
2007/8/1,207.917
2007/9/1,208.49
2007/10/1,208.936
2007/11/1,210.177
2007/12/1,210.036
2008/1/1,211.08
2008/2/1,211.693
2008/3/1,213.528
2008/4/1,214.823
2008/5/1,216.632
2008/6/1,218.815
2008/7/1,219.964
2008/8/1,219.086
2008/9/1,218.783
2008/10/1,216.573
2008/11/1,212.425
2008/12/1,210.228
2009/1/1,211.143
2009/2/1,212.193
2009/3/1,212.709
2009/4/1,213.24
2009/5/1,213.856
2009/6/1,215.693
2009/7/1,215.351
2009/8/1,215.834
2009/9/1,215.969
2009/10/1,216.177
2009/11/1,216.33
2009/12/1,215.949
2010/1/1,216.687
2010/2/1,216.741
2010/3/1,217.631
2010/4/1,218.009
2010/5/1,218.178
2010/6/1,217.965
2010/7/1,218.011
2010/8/1,218.312
2010/9/1,218.439
2010/10/1,218.711
2010/11/1,218.803
2010/12/1,219.179
2011/1/1,220.223
2011/2/1,221.309
2011/3/1,223.467
2011/4/1,224.906
2011/5/1,225.964
2011/6/1,225.722
2011/7/1,225.922
2011/8/1,226.545
2011/9/1,226.889
2011/10/1,226.421
2011/11/1,226.23
2011/12/1,225.672
2012/1/1,226.665
2012/2/1,227.663
2012/3/1,229.392
2012/4/1,230.085
2012/5/1,229.815
2012/6/1,229.478
2012/7/1,229.104
2012/8/1,230.379
2012/9/1,231.407
2012/10/1,231.317
2012/11/1,230.221
2012/12/1,229.601
2013/1/1,230.28
2013/2/1,232.166
2013/3/1,232.773
2013/4/1,232.531
2013/5/1,232.945
2013/6/1,233.504
2013/7/1,233.596
2013/8/1,233.877
2013/9/1,234.149
2013/10/1,233.546
2013/11/1,233.069
2013/12/1,233.049
2014/1/1,233.916
2014/2/1,234.781
2014/3/1,236.293
2014/4/1,237.072
2014/5/1,237.9
2014/6/1,238.343
2014/7/1,238.25
2014/8/1,237.852
2014/9/1,238.031
2014/10/1,237.433
2014/11/1,236.151
2014/12/1,234.812
2015/1/1,233.707
2015/2/1,234.722
2015/3/1,236.119
2015/4/1,236.599
2015/5/1,237.805
2015/6/1,238.638
2015/7/1,238.654
2015/8/1,238.316
2015/9/1,237.945
2015/10/1,237.838
2015/11/1,237.336
2015/12/1,236.525
2016/1/1,236.916
2016/2/1,237.111
2016/3/1,238.132
2016/4/1,239.261
2016/5/1,240.229
2016/6/1,241.018
2016/7/1,240.628
2016/8/1,240.849
2016/9/1,241.428
2016/10/1,241.729
2016/11/1,241.353
2016/12/1,241.432
2017/1/1,242.839
2017/2/1,243.603
2017/3/1,243.801
2017/4/1,244.524
2017/5/1,244.733
2017/6/1,244.955
2017/7/1,244.786
2017/8/1,245.519
2017/9/1,246.819
2017/10/1,246.663
2017/11/1,246.669
2017/12/1,246.524
2018/1/1,247.867
2018/2/1,248.991
2018/3/1,249.554
2018/4/1,250.546
2018/5/1,251.588
2018/6/1,251.989
2018/7/1,252.006
2018/8/1,252.146
2018/9/1,252.439
2018/10/1,252.885
2018/11/1,252.038
2018/12/1,251.233
2019/1/1,251.712
2019/2/1,252.776
2019/3/1,254.202
2019/4/1,255.548
2019/5/1,256.092
2019/6/1,256.143
2019/7/1,256.571
2019/8/1,256.558
2019/9/1,256.759
2019/10/1,257.346
2019/11/1,257.208
2019/12/1,256.974
2020/1/1,257.971
2020/2/1,258.678
2020/3/1,258.115
2020/4/1,256.389
2020/5/1,256.394
2020/6/1,257.797
2020/7/1,259.101
2020/8/1,259.918
2020/9/1,260.28
2020/10/1,260.388
2020/11/1,260.229
2020/12/1,260.474
2021/1/1,261.582
2021/2/1,263.014
2021/3/1,264.877
2021/4/1,267.054
2021/5/1,269.195
2021/6/1,271.696
2021/7/1,273.003
2021/8/1,273.567
2021/9/1,274.31
2021/10/1,276.589
2021/11/1,277.948
2021/12/1,278.802
2022/1/1,281.148
2022/2/1,283.716
2022/3/1,287.504
2022/4/1,289.109
2022/5/1,292.296
2022/6/1,296.311
2022/7/1,296.276
2022/8/1,296.171
2022/9/1,296.808
2022/10/1,298.012
2022/11/1,297.711
2022/12/1,296.797
2023/1/1,299.17
2023/2/1,300.84
2023/3/1,301.836
2023/4/1,303.363
2023/5/1,304.127
2023/6/1,305.109
2023/7/1,305.691
2023/8/1,307.026
2023/9/1,307.789
2023/10/1,307.671
2023/11/1,307.051
2023/12/1,306.746
2024/1/1,308.417
2024/2/1,310.326
2024/3/1,312.332
2024/4/1,313.548
2024/5/1,314.069
2024/6/1,314.175
2024/7/1,314.54
2024/8/1,314.796
2024/9/1,315.301
2024/10/1,315.664
2024/11/1,315.493
2024/12/1,315.605
