time,count
2005/1/1,3448414
2005/2/1,3254989
2005/3/1,4321264
2005/4/1,4087436
2005/5/1,4315555
2005/6/1,3859800
2005/7/1,5112513
2005/8/1,4817910
2005/9/1,4151624
2005/10/1,4011125
2005/11/1,3625489
2005/12/1,4199836
2006/1/1,3575819
2006/2/1,3166644
2006/3/1,4044877
2006/4/1,4646756
2006/5/1,4121207
2006/6/1,3882117
2006/7/1,5427525
2006/8/1,5220246
2006/9/1,4277922
2006/10/1,4281810
2006/11/1,4070579
2006/12/1,4261888
2007/1/1,3695961
2007/2/1,3370213
2007/3/1,4268976
2007/4/1,4864985
2007/5/1,4500309
2007/6/1,4490918
2007/7/1,5923646
2007/8/1,5814940
2007/9/1,4767792
2007/10/1,4815878
2007/11/1,4672822
2007/12/1,4948504
2008/1/1,4086799
2008/2/1,3897179
2008/3/1,5182792
2008/4/1,4745139
2008/5/1,5009362
2008/6/1,4678511
2008/7/1,5986535
2008/8/1,6229145
2008/9/1,4689523
2008/10/1,4629872
2008/11/1,4288280
2008/12/1,4584137
2009/1/1,3720104
2009/2/1,3542549
2009/3/1,4269373
2009/4/1,4780813
2009/5/1,4309233
2009/6/1,4078448
2009/7/1,5534326
2009/8/1,5915725
2009/9/1,4723515
2009/10/1,4717039
2009/11/1,4489069
2009/12/1,5022549
2010/1/1,4128091
2010/2/1,3736045
2010/3/1,4841398
2010/4/1,4937709
2010/5/1,5092004
2010/6/1,4713084
2010/7/1,6278385
2010/8/1,6406534
2010/9/1,5055988
2010/10/1,5164365
2010/11/1,4570245
2010/12/1,5086512
2011/1/1,4319083
2011/2/1,3905579
2011/3/1,4782144
2011/4/1,5587811
2011/5/1,5277963
2011/6/1,4946939
2011/7/1,6862072
2011/8/1,6798516
2011/9/1,5447584
2011/10/1,5392345
2011/11/1,4946829
2011/12/1,5210551
2012/1/1,4728134
2012/2/1,4155850
2012/3/1,5328829
2012/4/1,5726778
2012/5/1,5341254
2012/6/1,5196669
2012/7/1,6806745
2012/8/1,7355431
2012/9/1,5817050
2012/10/1,5583375
2012/11/1,5267717
2012/12/1,5659065
2013/1/1,4967028
2013/2/1,4478353
2013/3/1,5980801
2013/4/1,5729720
2013/5/1,5800889
2013/6/1,5637609
2013/7/1,7166098
2013/8/1,7992152
2013/9/1,6176016
2013/10/1,6053988
2013/11/1,5532024
2013/12/1,6128229
2014/1/1,5400065
2014/2/1,4660320
2014/3/1,5895684
2014/4/1,6500365
2014/5/1,6370882
2014/6/1,6003877
2014/7/1,7429591
2014/8/1,8418370
2014/9/1,6260914
2014/10/1,6341263
2014/11/1,5829463
2014/12/1,6268560
2015/1/1,5528348
2015/2/1,4893897
2015/3/1,6176981
2015/4/1,6513761
2015/5/1,6865244
2015/6/1,6213956
2015/7/1,7861626
2015/8/1,8166951
2015/9/1,6534393
2015/10/1,6610185
2015/11/1,6061547
2015/12/1,6346637
2016/1/1,5614591
2016/2/1,4935260
2016/3/1,6143910
2016/4/1,6042233
2016/5/1,6500006
2016/6/1,6154158
2016/7/1,7594735
2016/8/1,7895284
2016/9/1,6614195
2016/10/1,6723729
2016/11/1,5844020
2016/12/1,6345367
2017/1/1,5761573
2017/2/1,4847524
2017/3/1,5789340
2017/4/1,6694435
2017/5/1,6261694
2017/6/1,6085765
2017/7/1,7662834
2017/8/1,8101069
2017/9/1,6484238
2017/10/1,6670085
2017/11/1,6127815
2017/12/1,6700374
2018/1/1,5929209
2018/2/1,5255134
2018/3/1,6663070
2018/4/1,6929931
2018/5/1,6768050
2018/6/1,6372295
2018/7/1,7780063
2018/8/1,8079538
2018/9/1,6559060
2018/10/1,6759361
2018/11/1,6067153
2018/12/1,6583054
2019/1/1,5836439
2019/2/1,5091485
2019/3/1,6258503
2019/4/1,7044707
2019/5/1,6703974
2019/6/1,6326970
2019/7/1,7702922
2019/8/1,8114715
2019/9/1,6703451
2019/10/1,6687063
2019/11/1,6095118
2019/12/1,6876248
2020/1/1,5737655
2020/2/1,4952787
2020/3/1,3110473
2020/4/1,248486
2020/5/1,268939
2020/6/1,318998
2020/7/1,524379
2020/8/1,720669
2020/9/1,611593
2020/10/1,729769
2020/11/1,881761
2020/12/1,1106505
2021/1/1,1045178
2021/2/1,701043
2021/3/1,1062013
2021/4/1,1367834
2021/5/1,1750554
2021/6/1,1756616
2021/7/1,2021624
2021/8/1,2258290
2021/9/1,1894455
2021/10/1,2118328
2021/11/1,2872992
2021/12/1,3431173
2022/1/1,2473517
2022/2/1,2249094
2022/3/1,3209908
2022/4/1,4280397
2022/5/1,4254837
2022/6/1,4008029
2022/7/1,5172494
2022/8/1,5650779
2022/9/1,4833042
2022/10/1,5088299
2022/11/1,4546326
2022/12/1,5003963
2023/1/1,4793098
2023/2/1,4124309
2023/3/1,5228496
2023/4/1,5588517
2023/5/1,5374474
2023/6/1,4969591
2023/7/1,6444443
2023/8/1,6966956
2023/9/1,5755858
2023/10/1,5946899
2023/11/1,5259600
2023/12/1,5897618
2024/1/1,5360098
2024/2/1,4727460
2024/3/1,5884211
2024/4/1,5879345
2024/5/1,6058505
2024/6/1,5629428
2024/7/1,6887592
2024/8/1,7513579
2024/9/1,6151205
2024/10/1,6199993
2024/11/1,5642343
2024/12/1,6456562
